IMDB_ID,Movie,Date,Genre,Length,Country,Rating,Director,Income
tt0078788,Apocalypse Now,1979-12-18 00:00:00,"Drama, Mystery, War",147.0,USA,R,Francis Ford Coppola,91968688
tt0364569,Oldeuboi,2005-05-06 00:00:00,"Action, Drama, Mystery",120.0,South Korea,R,Chan-wook Park,15002116
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-04-03 00:00:00,Comedy,95.0,UK,PG,Stanley Kubrick,9443876
tt0047396,Rear Window,1955-04-14 00:00:00,"Mystery, Thriller",112.0,USA,"8.4
/10",Alfred Hitchcock,37032034
tt2380307,Coco,2017-12-28 00:00:00,"Animation, Adventure, Family",105.0,USA,"8.4
/10","Lee Unkrich, Adrian Molina",807083670
tt0405094,Das Leben der Anderen,2007-04-06 00:00:00,"Drama, Mystery, Thriller",137.0,Germany,R,Florian Henckel von Donnersmarck,77356942
tt4633694,Spider-Man: Into the Spider-Verse,2018-12-25 00:00:00,"Animation, Action, Adventure",117.0,USA,"8.4
/10","Bob Persichetti, Peter Ramsey",375540831
tt1187043,3 Idiots,2009-12-25 00:00:00,"Comedy, Drama",170.0,India,"8.4
/10",Rajkumar Hirani,60262836
tt0119698,Mononoke-hime,2000-05-19 00:00:00,"Animation, Adventure, Fantasy",134.0,Japan,PG-13,Hayao Miyazaki,169785629
tt0087843,Once Upon a Time in America,1984-09-28 00:00:00,"Crime, Drama",229.0,USA,R,Sergio Leone,5472914
tt0032553,The Great Dictator,1945-06-25 00:00:00,"Comedy, Drama, War",125.0,USA,"8.4
/10",Charles Chaplin,969879
tt0043014,Sunset Blvd.,1951-03-06 00:00:00,"Drama, Film-Noir",110.0,USA,"8.4
/10",Billy Wilder,299645
tt0361748,Inglourious Basterds,2009-10-02 00:00:00,"Adventure, Drama, War",153.0,Germany,R,Quentin Tarantino,321455689
tt0169547,American Beauty,2000-01-21 00:00:00,Drama,122.0,USA,R,Sam Mendes,356296601
tt0112573,Braveheart,1995-12-01 00:00:00,"Biography, Drama, History",178.0,USA,R,Mel Gibson,213216216
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983-10-21 00:00:00,"Action, Adventure, Fantasy",131.0,USA,PG,Richard Marquand,475347111
tt0105236,Reservoir Dogs,1992-10-09 00:00:00,"Crime, Drama, Thriller",99.0,USA,R,Quentin Tarantino,2889963
tt0338013,Eternal Sunshine of the Spotless Mind,2004-10-22 00:00:00,"Drama, Romance, Sci-Fi",108.0,USA,R,Michel Gondry,74036715
tt0114709,Toy Story,1996-03-22 00:00:00,"Animation, Adventure, Comedy",81.0,USA,G,John Lasseter,404265438
tt0119217,Good Will Hunting,1998-03-06 00:00:00,"Drama, Romance",126.0,USA,R,Gus Van Sant,225933435
tt0208092,Snatch,2001-03-16 00:00:00,"Comedy, Crime",104.0,UK,R,Guy Ritchie,83557872
tt0180093,Requiem for a Dream,2000-12-15 00:00:00,Drama,102.0,USA,R,Darren Aronofsky,7390108
tt0066921,A Clockwork Orange,1972-09-07 00:00:00,"Crime, Drama, Sci-Fi",136.0,UK,"8.2
/10",Stanley Kubrick,26903440
tt0435761,Toy Story 3,2010-07-07 00:00:00,"Animation, Adventure, Comedy",103.0,USA,G,Lee Unkrich,1066969703
